stop_lat,stop_lon,stop_id,parent_station,stop_name,location_type
12.1319793,-86.293043,node/3735486700,,Gasolinera Altagracia,0
12.1521896,-86.2738517,node/3217862650,,Asamblea,0
12.0993451,-86.2605761,node/4404042709,relation/6589729,Club Terraza Sur,0
12.1053079,-86.2501565,node/4404042701,relation/6589725,Galerías Santo Domingo Norte,0
12.1023543,-86.2609414,node/4404042700,relation/6589724,Entrada a San Isidro,0
12.1026926,-86.2587098,node/4404042703,,Entrada a Residencial Mirasol,0
12.1055814,-86.2503118,node/4404042702,relation/6589725,Galerías Santo Domingo Norte,0
12.08797,-86.2619113,node/4404042705,relation/6589727,Pallavicini,0
12.1028578,-86.2573039,node/4404042704,,ASSA,0
12.0879614,-86.2620183,node/4404042706,relation/6589727,Pallavicini,0
12.13234565,-86.31383905,relation/6472919,,Las Piedrecitas,1
12.0903752,-86.2450633,relation/6472913,,Las Calderas,1
12.14595185,-86.2893788,relation/6472915,,Las Palmas,1
12.1421435,-86.2941771,node/3230617599,,Autostar,0
12.149557,-86.2176573,node/6191189631,,SenCom,0
12.1501034,-86.2174245,node/3303390746,,Ladrillería Americana,0
12.1523704,-86.246069,node/3303390747,,Madinisa,0
12.1527279,-86.250078,node/3303390744,,Agronisa,0
12.1534252,-86.2581586,node/3303390745,relation/6473140,Planta Eléctrica,0
12.136131,-86.2895137,relation/6472828,,Templo Mormón Altagracia,1
12.1244635502,-86.2182169001,relation/6472829,,Iglesia Mormona,1
12.1509291,-86.2304952,node/3303390740,relation/6472809,Iglesia Adventista Carretera Norte,0
12.1515113,-86.1892305,node/3303390741,relation/6473046,Palí Las Mercedes,0
12.1406302,-86.2511772,relation/6472826,,Iglesia Morava Managua,1
12.17575975,-86.358651,relation/6472827,,Iglesia Morava Ciudad Sandino,1
12.151937,-86.2605036,node/3303390748,,Terminal 170,0
12.1207459251,-86.2215764,relation/6472823,,Iglesia Madre del Divino Amor,1
12.1142428,-86.2968209,node/7605153408,,Iglesia Bautista Nazareth,0
12.1283201,-86.2914479,node/7605153406,,Farmacia El Recreo,0
12.1019287,-86.294205,node/7605153401,,Grúas Hocri,0
12.145323,-86.2277932,node/7605153403,,Ferretería Shalom,0
12.1492612,-86.2971919,node/6262869568,,Estatua Monseñor Lezcano,0
12.1385024,-86.2219929,node/6685636463,,Terraqueos Bar,0
12.145751,-86.2535505,node/7867259739,,Semáforos de Ciudad Jardín,0
12.1539652,-86.22683315,relation/6473243,,Barrio Selim Shible,1
12.13148775,-86.29166545,relation/6473241,,Pulpería Gema,1
12.1402107,-86.2569083,node/7727710175,,Politécnico de Comercio,0
12.14175655,-86.24567375,relation/6472271,,Bar Neptuno,1
12.1422147,-86.250941,node/7867259732,,Clínica Santamaría,0
12.1164844,-86.2378357,node/7727710171,,Duya Mágica,0
12.1599889,-86.195424,node/4332740715,relation/6473615,Terminal Berta Díaz,0
12.1599865,-86.1954445,node/4332740714,relation/6473615,Terminal Berta Díaz,0
12.147631,-86.1901873,node/2316388654,,Entrada a Las Mercedes / Subasta,0
12.1234184,-86.2189518,node/4332740713,relation/6473574,Villa Flor Norte,0
12.1234158,-86.2188559,node/4332740712,relation/6473574,Villa Flor Norte,0
12.1472544,-86.2836966,node/3230468215,,Estadio Cranshaw,0
12.1385766,-86.30189035,relation/6473400,,Sitel,1
12.1670009,-86.3533633,node/3230468217,relation/6472727,Farmacia Nefi,0
12.10884225,-86.2871981,relation/6473402,,Sombrero de Sandino,1
12.1008,-86.29855965,relation/6473404,,Sorbetería Haydee,1
12.118353,-86.23932555,relation/6473407,,Sport Gym La Fuente,1
12.1677296,-86.3518785,node/3230468212,relation/6472599,El Gallo Más Gallo,0
12.1389148,-86.2324411,node/3705789584,relation/6472609,Bello Horizonte Sur,0
12.1384584,-86.2292108,node/3705789585,relation/6473032,Multicentro Sur,0
12.1395615,-86.3320464,node/3230468218,relation/6472871,KM 9,0
12.1402993,-86.2332238,node/3705789583,relation/6472319,Boulevard Bello Horizonte,0
12.09786,-86.2486051,node/3951162760,relation/6472536,Cruz Verde,0
12.101875,-86.2500139,node/3951162761,relation/6472575,Taller El Chele,0
12.0880889,-86.2425319,node/3951162762,,Ecami,0
12.1048456,-86.2509152,node/3951162763,relation/6472597,El Establo,0
12.0815286,-86.234575,node/3951162764,relation/6472618,El Parque,0
12.0816211,-86.2371994,node/3951162765,relation/6472619,Tercera Etapa Las Sierritas,0
12.0739873,-86.196868,node/3951162766,relation/6472635,Colegio Pablo Antonio Cuadra,0
12.0750346,-86.2096788,node/3951162767,relation/6472697,FUTEC,0
