stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
28298,BT1229,DUKE ST & JORDAN ST,,38.81208,-77.109612,,
28299,BT123,BACKLICK RD & RHODEN CT,,38.796051,-77.186127,,
28300,BT1230,FDA (WB Mahan),,39.033909,-76.985619,,
28301,BT1231,NEW HAMPSHIRE AVE + POWDER MILL,,39.022038,-76.97718,,
28302,BT1232,RIGGS & CHILLUM,,38.958771,-77.001122,,
28303,BT1233,FDA (EB Mahan),,39.034153,-76.984879,,
28304,BT1235,VISTA DR. & GLEN CAROLYN DR.,,38.852783,-77.14106,,
28305,BT1236,GLEN CAROLYN DR. & VISTA DR.,,38.852787,-77.14106,,
28306,BT1237,MCLEAN STA,,38.924259,-77.208771,,
28307,BT1238,WAPLES MILL & ROUTE 50,,38.857353,-77.335442,,
28308,BT1239,WAPLES MILL & ROUTE 50,,38.857372,-77.335457,,
28309,BT1240,ALEXANDRIA COMMONS SHOP. CTR,,38.808064,-77.085861,,
28310,BT1241,ALABAMA ST & 13TH ST SE,,38.844677,-76.988518,,
28311,BT1242,TRENTON PL & 19TH ST SE,,38.845112,-76.976501,,
28312,BT1245,STADIUM DR & UNIVERSITY BLVD,,38.991573,-76.949799,,
28313,BT1247,EYE & 17TH NW (FARR SQ),,38.901321,-77.039436,,
28314,BT1249,POTOMAC YARD SC,,38.837303,-77.049004,,
28315,BT125,SPRINGFIELD,,38.799538,-77.182755,,
28316,BT1250,NAYLOR & ALABAMA,,38.858852,-76.968185,,
28317,BT1254,WILLIAMS DR & WILLOW OAKS,,38.864899,-77.234245,,
28318,BT1255,JASPER & 12TH SE,,38.851151,-76.985252,,
28319,BT1256,OLD GEORGETOWN RD AT CEDAR LN,,39.00452,-77.110725,,
28320,BT1257,WEST CEDAR LA + OLD GEORGETOWN R,,39.004524,-77.110573,,
28321,BT1258,GLEN ARDEN AND MLK,,38.93261,-76.86692,,
28322,BT1259,MASS AVE & 8TH ST NE,,38.891716,-76.994942,,
28323,BT126,BACKLICK & HECHINGER E,,38.796417,-77.185883,,
28324,BT1261,CONTEE ROAD,,39.07626,-76.868217,,
28325,BT1263,4TH & INDEPENDENCE SW,,38.887581,-77.01754,,
28326,BT1264,WHITE OAK S/C + REAR OF SEARS BL,,39.042683,-76.987663,,
28327,BT1265,TAKOMA LANGLEY TRANSIT CTR,,38.989529,-76.988243,,
28328,BT127,EDSALL RD & INDUSTRIAL DR,,38.805962,-77.170395,,
28329,BT1272,COMMERCE ST. & KEENE MILL RD.,,38.77824,-77.191521,,
28330,BT1274,KEENE MILL ROAD & COMMERCE ST.,,38.778248,-77.191498,,
28331,BT1275,ST ELIZABETH GATE 1,,38.855072,-76.996056,,
28332,BT1277,AMMENDALE ROAD,,39.057976,-76.904617,,
28333,BT1280,NEW JERSEY & RHODE ISLAND NW,,38.913769,-77.017776,,
28334,BT1287,FORT BELVOIR PX COMMISSARY,,38.723778,-77.151421,,
28335,BT1288,PHIL WAY & FORBES BLVD,,38.95755,-76.836418,,
28336,BT1289,K ST & 13TH NW,,38.902519,-77.029617,,
28337,BT129,HALF & O STS SW,,38.87294,-77.01062,,
28339,BT1292,F ST. & 11TH STS. N.W.,,38.897346,-77.027031,,
28340,BT1293,F & 12TH ST NW,,38.897343,-77.028091,,
28345,BT13,BROOKLAND STA,,38.933365,-76.993935,,
28352,BT131,7TH & H NW,,38.899811,-77.021912,,
28358,BT132,7TH & FLORIDA NW,,38.916302,-77.021904,,
28364,BT133,GA AVE & IRVING ST NW,,38.929008,-77.023224,,
28371,BT134,GEORGIA AVE-PETWORTH STA,,38.936848,-77.024422,,
28380,BT135,GEORGIA & KENNEDY,,38.956211,-77.028038,,
28391,BT136,GEORGIA & EASTERN,,38.984184,-77.026581,,
28423,BT14,22ND & SOUTH DAKOTA,,38.933388,-76.97422,,
28424,BT140,L'ENFANT PLAZA STA (D&7 SW),,38.884846,-77.021904,,
28432,BT141,PENNSYLVANIA & 24TH NW,,38.902992,-77.051392,,
28440,BT142,M ST & WISCONSIN AVE,,38.905231,-77.062874,,
28445,BT143,ROSSLYN STA,,38.896145,-77.071556,,
28455,BT144,WILSON & VEITCH-CTHS STA,,38.89122,-77.085808,,
28466,BT145,WILSON & HERNDON-CLAR STA,,38.887157,-77.095413,,
28471,BT146,WASH BLVD & QUINCY ST,,38.886055,-77.108147,,
28480,BT147,BALLSTON STA,,38.882179,-77.111794,,
28486,BT148,CLARENDON BLVD & HIGHLAND,,38.887009,-77.09494,,
28502,BT15,AVONDALE (EAST & MICH NE),,38.946068,-76.977684,,
28516,BT152,COURTHOUSE RD & S 2ND ST,,38.871616,-77.081802,,
28534,BT155,TYSONS CORNER CENTER,,38.916363,-77.220734,,
28564,BT160,WEST FALLS CHURCH STA,,38.89978,-77.188202,,
28578,BT162,LEESBURG PK & LISLE AVE,,38.90868,-77.214264,,
28585,BT1636,1405 BRENTWOOD PARKWAY NE,,38.910416,-76.993385,,
28586,BT1637,ALABAMA AVE SE + 38TH ST SE,,38.865257,-76.952217,,
28592,BT1649,DONNELL DR & PENN AVE,,38.844582,-76.884804,,
28593,BT165,LEESBURG PK & RAMADA RD,,38.908047,-77.213562,,
28594,BT1650,EAST CAPITOL & 47TH ST NE,,38.889763,-76.934891,,
28595,BT1652,GORHAM ST. & ROUTE 7,,38.847763,-77.12294,,
28596,BT1653,OKIE ST & 16TH ST NE,,38.915806,-76.980949,,
28597,BT1654,PENNSYLVANIA AVE & 7TH ST SE,,38.884678,-76.996178,,
28598,BT1655,PENNSYLVANIA AVE SE + FORT DAVIS,,38.865253,-76.950516,,
28599,BT1656,RHODE ISLAND AVE& 3RD,,38.919243,-77.002029,,
28600,BT1657,SOUTHERN AVE + MARLBORO PIKE,,38.873821,-76.933861,,
28601,BT1658,SEMINARY RD & MAGNOLIA LANE,,38.845062,-77.12339,,
28602,BT1659,SOUTHERN-BOWEN RD,,38.873817,-76.933853,,
28603,BT166,GEORGIA AVE & SPRING ST,,38.999428,-77.031822,,
28604,BT1660,SOUTHERN AVE & PEAR ST,,38.873371,-76.934402,,
28606,BT1663,16TH & U ST SE,,38.865318,-76.982162,,
28609,BT1666,HUNTER PL & MORRIS RD SE,,38.858688,-76.985771,,
28610,BT1667,MLK & GOOD HOPE RD,,38.867287,-76.988647,,
28611,BT167,GEORGIA & FOREST GLEN,,39.016014,-77.042816,,
28613,BT1673,MARK APTS,,38.81216,-77.126205,,
28614,BT1674,14TH ST & NEW YORK AVE NW,,38.899376,-77.031975,,
28615,BT1675,18TH EAST CAPITAL STREETS,,38.889805,-76.978981,,
