stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
420,5000184,OLD KEENE MILL RD + ROLLING RD,,38.779489,-77.231397,,
422,5000185,OLD KEENE MILL RD + ROLLING RD,,38.779695,-77.231629,,
423,3000227,BOCK RD + HOLLY DR,,38.779592,-76.963138,,
424,3000228,BOCK RD + HOLLY DR,,38.779734,-76.963117,,
425,5000186,GREELEY BLVD + BROMPTON ST,,38.779709,-77.216999,,
426,5000187,GREELEY BLVD + BROMPTON ST,,38.779838,-77.216976,,
427,5000188,SHIPLETT BLVD + ANDROMEDA DR,,38.779736,-77.265517,,
428,5000189,COMMERCE ST + MONTICELLO BLVD,,38.780112,-77.191736,,
429,5000190,SHIPLETT BLVD + ANDROMEDA DR,,38.779979,-77.265274,,
430,5000191,OLD KEENE MILL RD + BARDU CT,,38.780104,-77.222956,,
431,5000192,CAPPELLA AVE + ORION CT,,38.78006,-77.274889,,
432,5000193,OLD KEENE MILL RD + CARRLEIGH PKWY,,38.78009,-77.228532,,
433,5000194,CAPELLA AVE + ORION CT,,38.780126,-77.275035,,
434,5000195,OLD KEENE MILL RD + CARRLEIGH PKWY,,38.780247,-77.228987,,
435,5000196,OLD KEENE MILL RD + AINSWORTH AVE,,38.780419,-77.226152,,
436,5000197,OLD KEENE MILL RD + AINSWORTH AVE,,38.780683,-77.226388,,
437,5000198,HILLSIDE RD + MOVERLY CT,,38.780952,-77.249745,,
438,5000199,HILLSIDE RD + MOVERLY CT,,38.781023,-77.249587,,
439,3000229,LIVINGSTON RD + #7916,,38.781132,-76.9953,,
445,5000201,CAPPELLA AVE + VANDOLA CT,,38.781683,-77.27384,,
450,3000234,LIVINGSTON RD + CAREY BRANCH DR,,38.781681,-76.993134,,
451,5000206,LEE CHAPEL RD + COVERED BRIDGE RD,,38.781747,-77.277823,,
453,5000207,CAPELLA AVE + VANDOLA CT,,38.782044,-77.273768,,
458,5000210,LEE CHAPEL RD + COVERED BRIDGE RD,,38.782348,-77.277718,,
459,3000237,LIVINGSTON RD + HART RD,,38.78275,-76.992289,,
461,5000211,COMMERCE ST + #6370,,38.782484,-77.189695,,
462,5000212,SHIPLETT BLVD + HATCHES CT,,38.78254,-77.266759,,
463,5000213,GREELEY BLVD + BARDU AVE,,38.782707,-77.218933,,
464,5000214,SHIPLETT BLVD + FUSHIMI CT,,38.782524,-77.267116,,
467,5000215,AMHERST AVE + COMMERCE ST,,38.782602,-77.186849,,
468,5000216,GREELEY BLVD + BARDU AVE,,38.782641,-77.219982,,
470,3000240,BOCK RD + STEUBEN AVE,,38.78278,-76.965462,,
471,3000241,BOCK RD + STEUBEN AVE,,38.782667,-76.965615,,
472,3000242,LIVINGSTON RD + HART RD,,38.782845,-76.992081,,
474,5000219,COMMERCE ST + DINWIDDIE ST,,38.782872,-77.189428,,
475,5000220,CAPPELLA AVE + SCORPIO LA,,38.782938,-77.272806,,
477,5000221,GREELEY BLVD + TANGLEWOOD CT,,38.783291,-77.221735,,
478,5000222,BACKLICK RD + CUMBERLAND AVE,,38.783323,-77.1856,,
479,5000223,GREELEY BLVD + TANGLEWOOD CT,,38.783396,-77.222298,,
481,5000225,CAPELLA AVE + MELLETT CT,,38.783825,-77.271806,,
482,5000226,AMHERST AVE + CUMBERLAND AVE,,38.783844,-77.187061,,
483,5000227,SHIPLETT BLVD + ROCKWELL CT,,38.784015,-77.269661,,
484,5000228,SHIPLETT BLVD + CAPPELLA AVE,,38.783959,-77.270492,,
487,5000230,GREELEY BLVD + DABNEY AVE,,38.784613,-77.222845,,
489,5000231,BURKE CENTRE PKWY + WESLEY POND CT,,38.784923,-77.28085,,
490,5000232,BURKE CENTRE PKY + WESLEY POND CT,,38.784757,-77.281131,,
491,5000233,GREELEY BLVD + BARDU AVE,,38.785099,-77.22265,,
496,5000237,HILLSIDE RD + SWEET OAK CT,,38.78525,-77.250126,,
500,3000247,OLD BRANCH AVE + ARBUTUS LN,,38.78558,-76.897774,,
502,5000240,BACKLICK RD + ESSEX AVE,,38.785751,-77.185857,,
504,3000248,LIVINGSTON RD + ELWIN RD,,38.785904,-76.990685,,
505,3000249,LIVINGSTON RD + ELWIN RD,,38.785875,-76.990852,,
507,5000242,AMHERST AVE + ESSEX AVE,,38.785896,-77.187373,,
508,5000243,HILLSIDE RD + WEEPING HOLLOW LA,,38.786036,-77.248974,,
509,3000251,OLD BRANCH AVE + ARBUTUS LN,,38.786045,-76.897899,,
510,5000244,BURKE CENTRE PKY + MARSHALL POND RD,,38.786012,-77.294253,,
511,3000252,BOCK RD + KINGSWAY RD,,38.786286,-76.967617,,
513,5000246,BURKE CENTRE PKY + SCHOOLHOUSE WOODS CT,,38.786496,-77.293633,,
514,5000247,HILLSIDE RD + SELWOOD PL,,38.786449,-77.248863,,
516,3000253,BOCK RD + KINGSWAY RD,,38.786564,-76.968079,,
517,5000249,BURKE CENTRE PKY + BURKE POND LN,,38.786577,-77.284044,,
518,5000250,BURKE CENTRE PKY + POND SPICE LN,,38.786594,-77.299817,,
520,5000252,BURKE CENTRE PKY + BURKE COMMONS RD,,38.786888,-77.299847,,
522,5000253,BURKE CENTRE PKY + COFFER WOODS RD,,38.7871,-77.291101,,
523,5000254,BURKE CENTRE PKY + WHEATON DR,,38.787278,-77.284949,,
525,5000256,BURKE CENTRE PKY + COFFER WOODS RD,,38.78733,-77.29115,,
527,5000258,GREELEY BLVD + LANGBROOK RD,,38.787345,-77.223302,,
529,5000259,GREELEY BLVD + LANGBROOK RD,,38.787277,-77.223448,,
532,5000260,BACKLICK RD + EDGEBROOK DR,,38.787624,-77.186105,,
533,5000261,BURKE CENTRE PKY + WILMINGTON DR,,38.787631,-77.288178,,
534,5000262,BURKE CENTRE PKWY + WILINGTON DR,,38.787867,-77.288181,,
535,3000258,BOCK RD + HENSON VALLEY WAY,,38.787799,-76.968938,,
540,5000266,HILLSIDE RD + VERANDA DR,,38.788162,-77.246916,,
542,5000267,HILLSIDE RD + FORREST HOLLOW LA,,38.788143,-77.246519,,
543,5000268,BURKE CENTRE PKY + MARTINS LANDING LN,,38.78814,-77.303882,,
545,5000269,BURKE CENTRE PKY + FIRST LANDING WAY,,38.78854,-77.303822,,
548,5000272,HILLSIDE RD + TIMBER HOLLOW LA,,38.788721,-77.244989,,
552,5000274,HILLSIDE RD + HALL ST,,38.789034,-77.244659,,
556,5000277,AMHERST AVE + FLOYD AVE,,38.789466,-77.187445,,
558,5000278,CARRLEIGH PKWY + WATERBURY CT,,38.789558,-77.229067,,
559,5000279,CARRLEIGH PKY + FORRESTER BLVD,,38.789606,-77.2294,,
562,5000281,CARRLEIGH PKWY + GREELEY BLVD,,38.789675,-77.224972,,
563,5000282,BACKLICK RD + FLOYD AVE,,38.78979,-77.186374,,
564,5000283,CARRLEIGH PKWY + TALFORD CT,,38.789839,-77.227732,,
565,5000284,CARRLEIGH PKWY + TALFORD CT,,38.789951,-77.227382,,
571,5000289,FORRESTER BLVD + SHERBORN LA,,38.790175,-77.241217,,
574,5000291,FORRESTER BLVD + SEABRIGHT RD,,38.79026,-77.231568,,
575,3000268,LIVINGSTON RD + WHITE OAK DR,,38.790451,-76.988411,,
577,5000293,FORRESTER BLVD + SHERBORN LA,,38.790573,-77.241081,,
578,5000294,FORRESTER BLVD + KINGSFORD RD,,38.790663,-77.231975,,
579,3000269,LIVINGSTON RD + WHITE OAK DR,,38.79072,-76.988317,,
580,5000295,BURR OAK WAY + OAKLAND PARK DR,,38.791073,-77.323362,,
586,5000301,BURKE CENTRE PKY + POWELLS LANDING RD,,38.791092,-77.307132,,
587,5000302,BURKE CENTRE PKY + COVE LANDING RD,,38.79142,-77.307097,,
590,5000305,BACKLICK RD + HIGHLAND ST,,38.791541,-77.186512,,
594,5000308,FORRESTER BLVD + SURREY HILL PL,,38.791653,-77.235351,,
596,5000309,FORRESTER BLVD + SURREY HILL PL,,38.791716,-77.234869,,
597,3000272,BOCK RD + HAVERHILL ST,,38.791917,-76.97262,,
598,5000310,FORRESTER BLVD + LAKINHURST LA,,38.791893,-77.238472,,
599,5000311,BURR OAK WAY + CARTERS OAK WAY,,38.791919,-77.321217,,
600,3000273,BOCK RD + HAVERHILL ST,,38.791918,-76.972857,,
601,5000312,FORRESTER BLVD + ROYAL RIDGE DR,,38.791973,-77.238872,,
602,5000313,AMHERST AVE + BACKLICK RD,,38.792045,-77.186866,,
603,5000314,FORRESTER BLVD + QUEENSTON ST,,38.791994,-77.237188,,
604,5000315,FORRESTER BLVD + REXFORD DR,,38.792103,-77.236629,,
609,5000320,BURKE CENTRE PKY + BURNSIDE LANDING DR,,38.792551,-77.310017,,
610,5000321,BURKE CENTRE PKY + WATERS EDGE LANDING LN,,38.792767,-77.309744,,
611,3000274,ALLENTOWN RD + WALDRAN AVE,,38.792714,-76.922802,,
612,3000275,ALLENTOWN RD + WALDRAN AVE,,38.792905,-76.922847,,
615,3000276,LINDSAY RD + WILMETTE DR,,38.793075,-76.991731,,
617,3000277,ALLENTOWN RD + KAREN ANNE DR,,38.792951,-76.920047,,
620,3000279,ALLENTOWN RD + KAREN ANNE DR,,38.793143,-76.920051,,
622,3000280,LINDSAY RD + JARRETT AVE,,38.793191,-76.988373,,
623,3000281,LEYTE DR + LINDSAY RD,,38.793238,-76.992144,,
625,3000282,LINDSAY RD + JARRETT AVE,,38.793308,-76.988404,,
628,3000283,ALLENTOWN RD + #7052,,38.793319,-76.925578,,
631,3000284,ALLENTOWN RD + #7075,,38.79348,-76.925653,,
633,3000285,ALLENTOWN RD + TEMPLE HILL RD,,38.793502,-76.927519,,
634,3000286,ALLENTOWN RD + KINGSTON DR,,38.793616,-76.917414,,
635,3000287,BOCK RD + WOLF ST,,38.793672,-76.974211,,
636,3000288,ALLENTOWN RD + DODGE LA,,38.793772,-76.917511,,
637,5000329,BACKLICK RD + CABIN JOHN RD,,38.793899,-77.186217,,
638,5000330,BACKLICK RD + CABIN JOHN RD,,38.793815,-77.18645,,
639,3000289,BOCK RD + SOURWOOD LN,,38.793875,-76.97465,,
642,5000333,BURR OAK WAY + OAKLAND PARK DR,,38.794246,-77.318008,,
643,5000334,CLARA BARTON DR + #10990,,38.794426,-77.325188,,
644,3000290,LEYTE DR + #6902,,38.794391,-76.99163,,
646,3000291,LEYTE DR + #6903,,38.794416,-76.991777,,
653,4000003,S WASHINGTON ST + CHURCH ST,,38.79489,-77.049256,,
654,3000292,TEMPLE HILL RD + FARMER DR,,38.79501,-76.928432,,
655,3000293,TEMPLE HILL RD + FARMER DR,,38.794963,-76.928247,,
657,3000294,ALLENTOWN RD + WESTCHESTER DR,,38.795501,-76.915378,,
659,5000343,BURKE CENTRE PKWY + BURNSIDE LANDING,,38.795481,-77.313799,,
660,5000344,BURKE CENTRE PKWY + OAK LEATHER DR,,38.795679,-77.313513,,
664,3000295,BOCK RD + BELFAST PL,,38.79576,-76.976268,,
665,3000296,BOCK RD + BELFAST DR,,38.795834,-76.976123,,
666,3000297,LEYTE DR + SHELBY DR,,38.795813,-76.991363,,
667,3000298,LEYTE DR + SHELBY DR,,38.796066,-76.99122,,
668,3000299,WENTWORTH DR + HAVEN AVE,,38.795953,-76.989507,,
669,4000004,S WASHINGTON ST + GREEN ST,,38.795996,-77.049026,,
670,3000300,WENTWORTH DR + HAVEN AVE,,38.796048,-76.98961,,
671,5000348,BACKLICK RD + RHODEN CT,,38.795994,-77.186185,,
672,3000301,WENTWORTH DR + #1123,,38.796106,-76.987382,,
673,4000005,S WASHINGTON ST + GREEN ST,,38.796327,-77.048711,,
674,3000302,WENTWORTH DR + DEVONSHIRE DR,,38.79624,-76.98566,,
675,3000303,ALLENTOWN RD + WESTCHESTER CT,,38.7964,-76.915092,,
676,5000349,BACKLICK RD + HECHINGER DR,,38.796486,-77.185798,,
677,3000304,WENTWORTH DR + WESTFIELD DR,,38.796443,-76.985341,,
678,5000350,OAK LEATHER DR + OAKENSHAW CT,,38.796487,-77.316822,,
680,3000305,ALLENTOWN RD + WESTCHESTER CT,,38.79694,-76.914307,,
