stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,direction,position
14075,14075,NE 102nd & Morris St,northeast 102nd & morr-iss street,Northbound stop in Portland (Stop ID 14075),45.543249,-122.5577,B,https://trimet.org/home/stop/14075,0,,North,Nearside
14086,14086,NE Division & Hood,northeast division & hood,Westbound stop in Gresham (Stop ID 14086),45.50493,-122.428412,B,https://trimet.org/home/stop/14086,0,,West,Farside
14087,14087,PCC Drive & Springville,pcc drive & springville,Eastbound stop in Washington Co. (Stop ID 14087),45.563673,-122.859791,B,https://trimet.org/home/stop/14087,0,,East,Farside
14088,14088,NW Springville & Concordia Ct,northwest springville & concordia court,Eastbound stop in Washington Co. (Stop ID 14088),45.562942,-122.859142,B,https://trimet.org/home/stop/14088,0,,East,Nearside
14093,14093,SW Campus Dr & Casey Eye Institute,southwest campus drive & casey eye institute,Eastbound stop in Portland (Stop ID 14093),45.49872,-122.683204,B,https://trimet.org/home/stop/14093,0,,East,Opposite
14095,14095,NW Laidlaw & Anata Terrace,northwest laidlaw & anata terrace,Eastbound stop in Washington Co. (Stop ID 14095),45.555793,-122.838413,B,https://trimet.org/home/stop/14095,0,,East,Farside
14099,14099,N Kerby & Graham,north kerby & graham,Southbound stop in Portland (Stop ID 14099),45.542593,-122.672101,B,https://trimet.org/home/stop/14099,0,,South,Farside
14108,14108,SW 1st & Pine,southwest 1st & pine,Westbound stop in Sherwood (Stop ID 14108),45.357109,-122.84083,B,https://trimet.org/home/stop/14108,0,,West,Nearside
14112,14112,NE Holladay & 9th,northeast holladay & 9th,Eastbound stop in Portland (Stop ID 14112),45.529964,-122.657149,B,https://trimet.org/home/stop/14112,0,,East,Nearside
14121,14121,13300 Block SE Powell,thirteen-thousand-three-hundred block southeast powell,Eastbound stop in Portland (Stop ID 14121),45.497456,-122.525847,B,https://trimet.org/home/stop/14121,0,,East,Opposite
14122,14122,13200 Block SE Powell,13200 block southeast powell,Westbound stop in Portland (Stop ID 14122),45.4976,-122.526584,B,https://trimet.org/home/stop/14122,0,,West,At
14123,14123,SE Powell & 125th Pl,southeast powell & 125th place,Westbound stop in Portland (Stop ID 14123),45.497263,-122.534677,B,https://trimet.org/home/stop/14123,0,,West,Farside
14126,14126,N Leadbetter & Marine,north led better & marine,Southbound stop in Portland (Stop ID 14126),45.629603,-122.745696,B,https://trimet.org/home/stop/14126,0,,South,Farside
14127,14127,N Leadbetter & Bybee Lake Ct,north led better & bybee lake court,Westbound stop in Portland (Stop ID 14127),45.63133,-122.753978,B,https://trimet.org/home/stop/14127,0,,West,Opposite
14133,14133,Main & 8th St,main & 8th street,Eastbound stop in Oregon City (Stop ID 14133),45.358218,-122.607503,B,https://trimet.org/home/stop/14133,0,,East,Nearside
14136,14136,NE Sandy & Parkrose Transit Center,northeast sandy & parkrose transit center,Westbound stop in Portland (Stop ID 14136),45.55859,-122.563721,B,https://trimet.org/home/stop/14136,0,,West,Nearside
14139,14139,SW 198th & Jaylee,southwest 198th & jaylee,Southbound stop in Washington Co. (Stop ID 14139),45.482886,-122.881687,B,https://trimet.org/home/stop/14139,0,,South,Farside
14140,14140,SW 198th & Jaylee,southwest 198th & jaylee,Northbound stop in Washington Co. (Stop ID 14140),45.482892,-122.881444,B,https://trimet.org/home/stop/14140,0,,North,Nearside
14144,14144,NE Halsey & 42nd (Hollywood TC),northeast haulzy & 42nd (hollywood transit-center),Westbound stop in Portland (Stop ID 14144),45.533863,-122.620154,B,https://trimet.org/home/stop/14144,0,,West,Nearside
14145,14145,NE Halsey & 42nd (Hollywood TC),northeast haulzy & 42nd (hollywood transit-center),Eastbound stop in Portland (Stop ID 14145),45.533697,-122.619981,B,https://trimet.org/home/stop/14145,0,,East,Farside
14158,14158,SW Denney & 100th Ter,southwest denney & 100th ter,Westbound stop in Beaverton (Stop ID 14158),45.469391,-122.77989,B,https://trimet.org/home/stop/14158,0,,West,Opposite
